City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Wewak,PG,79.95,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
14,Surt,LY,82.94,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
26,Nikolskoye,RU,82.87,clear sky,59.7035,30.7861,Tourist House - Sablino
28,Yichang,CN,80.74,light rain,30.7144,111.2847,Gezhouba Hotel
29,Oleksandrivka,UA,76.98,overcast clouds,48.9634,32.2349,Смт олександрівка
35,Barra Do Bugres,BR,87.62,clear sky,-15.0725,-57.1811,Hotel 4AM Petrofurt
36,Nouadhibou,MR,76.98,few clouds,20.931,-17.0347,El Medina
38,Kavieng,PG,81.72,light rain,-2.5744,150.7967,Nusa Island Retreat
40,Victoria,HK,89.19,clear sky,22.2855,114.1577,Mini Central
42,Nishihara,JP,83.48,few clouds,26.1842,127.7558,Minshuku Agaihama
44,Jamestown,US,75.02,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
49,Acandi,CO,79.29,overcast clouds,8.5063,-77.2778,Hotel Patio Bonito
56,Salalah,OM,78.08,light rain,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
59,Kapaa,US,80.19,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
63,Gizo,SB,81.79,few clouds,-8.103,156.8419,Imagination Island
65,Ca Mau,VN,76.73,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
71,Dong Hoi,VN,79.03,broken clouds,17.4833,106.6,Nam Long Hotel
75,Butaritari,KI,79.52,light rain,3.0707,172.7902,Isles Sunset Lodge
76,Caravelas,BR,78.33,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
78,Dhidhdhoo,MV,81.68,overcast clouds,6.8833,73.1,Dhidhoo beach
79,Trat,TH,79.92,moderate rain,12.5,102.5,สวนหนิง-อัศ
80,Touros,BR,82.87,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
81,Fethiye,TR,85.87,clear sky,36.6217,29.1164,Club & Hotel Letoonia
82,Vadgaon,IN,81.28,overcast clouds,20.9402,74.8712,Nishant Suresh Patil
86,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
87,Korla,CN,83.62,clear sky,41.7597,86.1469,Gulisitan Hotel
89,Nguru,NG,86.54,overcast clouds,12.8791,10.4526,Government Lodge
90,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
91,Kavaratti,IN,81.1,overcast clouds,10.5669,72.642,Green leaf
92,Auki,SB,77.22,broken clouds,-8.7676,160.7034,Auki Motel
93,Zhicheng,CN,80.35,overcast clouds,30.2956,111.5047,Wangjiang Building
95,Esmeralda,CU,83.68,broken clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
96,Praia,CV,82.94,broken clouds,14.9215,-23.5087,LT Aparthotel
98,Lincoln,US,82.13,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
103,Nova Olimpia,BR,89.6,clear sky,-14.7972,-57.2881,Motel glamour
109,Cayenne,GF,84.24,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
113,Axim,GH,79.48,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
122,Bull Savanna,JM,83.39,clear sky,17.8868,-77.5902,Big Red's
126,Vanimo,PG,79.18,heavy intensity rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
127,Sao Gabriel Da Cachoeira,BR,78.6,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
133,Atuona,PF,77.0,few clouds,-9.8,-139.0333,Villa Enata
134,Bandarbeyla,SO,80.02,overcast clouds,9.4942,50.8122,JABIR HOTEL
136,Kaseda,JP,80.47,overcast clouds,31.4167,130.3167,Sun Stay Kaseda
141,Ahuimanu,US,76.71,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
143,Riedlingen,DE,84.13,broken clouds,48.1545,9.4756,Danuvius Ferienwohnung
