City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vardo,NO,70.3705,31.1107,53.58,100,100,9.22,overcast clouds
1,Narsaq,GL,60.9167,-46.05,48.42,91,100,2.66,overcast clouds
2,Vaini,TO,-21.2,-175.2,78.96,83,20,11.5,few clouds
3,Hilo,US,19.7297,-155.09,85.28,73,40,11.5,scattered clouds
4,Saint-Philippe,RE,-21.3585,55.7679,71.22,74,48,18.66,light rain
5,Uvarovka,RU,55.5278,35.6061,51.94,98,82,7.67,light rain
6,Longyearbyen,SJ,78.2186,15.6401,49.55,91,100,0.51,overcast clouds
7,Cervo,ES,43.6702,-7.4101,63.97,84,100,7.23,overcast clouds
8,Sal Rei,CV,16.1833,-22.9167,76.08,89,81,10.13,broken clouds
9,Albany,US,42.6001,-73.9662,77.65,78,56,1.01,broken clouds
10,Upernavik,GL,72.7868,-56.1549,44.8,77,85,2.17,overcast clouds
11,Punta Arenas,CL,-53.15,-70.9167,35.71,80,75,44.87,moderate rain
12,Busselton,AU,-33.65,115.3333,59.77,72,96,11.88,overcast clouds
13,Ogaminana,NG,7.5946,6.2248,68.72,94,68,3.98,broken clouds
14,Hobart,AU,-42.8794,147.3294,48.25,71,20,8.05,few clouds
15,Teacapan,MX,22.55,-105.75,83.84,75,83,12.15,broken clouds
16,Vila Franca Do Campo,PT,37.7167,-25.4333,74.19,88,94,5.48,overcast clouds
17,New Norfolk,AU,-42.7826,147.0587,45.72,55,3,1.01,clear sky
18,Hasaki,JP,35.7333,140.8333,90.28,80,83,4.32,broken clouds
19,Bluff,NZ,-46.6,168.3333,46.8,69,100,9.17,overcast clouds
20,Jamestown,US,42.097,-79.2353,76.59,73,20,11.5,few clouds
21,East London,ZA,-33.0153,27.9116,63.36,85,95,18.25,light rain
22,Butaritari,KI,3.0707,172.7902,82.63,76,97,15.08,overcast clouds
23,Campbell River,CA,50.0163,-125.2446,75.6,51,0,3.31,clear sky
24,Mount Isa,AU,-20.7333,139.5,74.97,27,0,8.05,clear sky
25,Avarua,CK,-21.2078,-159.775,77.05,65,20,9.22,few clouds
26,Bengkulu,ID,-3.8004,102.2655,80.42,79,100,2.86,overcast clouds
27,Victoria,HK,22.2855,114.1577,91.45,81,100,1.01,overcast clouds
28,Sechura,PE,-5.5569,-80.8222,63.57,80,95,12.84,overcast clouds
29,Hermanus,ZA,-34.4187,19.2345,51.51,77,21,4.61,few clouds
30,Port Lincoln,AU,-34.7333,135.8667,52.32,56,88,14.63,overcast clouds
31,Pavlodar,KZ,52.3,76.95,75.0,38,0,2.24,clear sky
32,Bethel,US,41.3712,-73.414,81.43,77,76,3.27,broken clouds
33,Lebu,CL,-37.6167,-73.65,47.84,86,25,3.27,scattered clouds
34,Buraydah,SA,26.326,43.975,87.03,14,0,6.55,clear sky
35,Saint-Georges,GD,12.0564,-61.7485,79.05,86,39,12.82,scattered clouds
36,Pangnirtung,CA,66.1451,-65.7125,48.96,81,100,3.42,light rain
37,Balsas,BR,-7.5325,-46.0356,79.2,38,59,4.0,broken clouds
38,Saquena,PE,-4.6667,-73.5167,72.9,93,68,1.97,broken clouds
39,Cidreira,BR,-30.1811,-50.2056,57.81,92,8,5.75,clear sky
40,Ushuaia,AR,-54.8,-68.3,38.86,81,75,5.75,broken clouds
41,Chernyshevskiy,RU,63.0128,112.4714,62.92,69,53,11.36,broken clouds
42,Cape Town,ZA,-33.9258,18.4232,58.37,78,4,5.01,clear sky
43,Atuona,PF,-9.8,-139.0333,77.68,72,36,11.83,scattered clouds
44,Raga,SS,8.4596,25.678,68.68,98,100,3.58,overcast clouds
45,Makakilo City,US,21.3469,-158.0858,84.52,54,75,14.97,broken clouds
46,Kaputa,ZM,-8.4689,29.6619,66.16,56,3,1.61,clear sky
47,Japura,ID,-0.3167,102.35,79.61,89,100,2.13,overcast clouds
48,Daru,PG,-9.0763,143.2092,78.35,89,100,12.01,overcast clouds
49,Klaksvik,FO,62.2266,-6.589,51.53,97,87,9.06,overcast clouds
50,Ostrovnoy,RU,68.0531,39.5131,49.86,95,100,11.52,overcast clouds
51,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,78.24,36,82,3.18,broken clouds
52,Berlevag,NO,70.8578,29.0864,54.91,84,100,4.9,light rain
53,Opuwo,NA,-18.0607,13.84,53.87,50,0,3.6,clear sky
54,Zhigansk,RU,66.7697,123.3711,49.69,61,74,19.44,broken clouds
55,Grand-Santi,GF,4.25,-54.3833,72.3,98,99,2.89,overcast clouds
56,Yellowknife,CA,62.456,-114.3525,63.93,71,100,7.67,light rain
57,Lorengau,PG,-2.0226,147.2712,83.7,69,100,6.85,overcast clouds
58,Kodiak,US,57.79,-152.4072,56.71,72,100,5.75,overcast clouds
59,Anadyr,RU,64.75,177.4833,49.19,74,100,15.88,light rain
60,Souillac,MU,-20.5167,57.5167,70.18,60,40,20.71,light rain
61,Poum,NC,-20.2333,164.0167,76.21,84,100,7.47,light rain
62,Ilulissat,GL,69.2167,-51.1,46.42,76,100,2.3,overcast clouds
63,Ribeira Grande,PT,38.5167,-28.7,71.89,89,0,5.28,clear sky
64,Acapulco,MX,16.8634,-99.8901,81.9,85,28,6.55,scattered clouds
65,Mataura,NZ,-46.1927,168.8643,46.47,72,94,3.65,overcast clouds
66,Bredasdorp,ZA,-34.5322,20.0403,49.44,82,83,2.53,broken clouds
67,Copiapo,CL,-27.3667,-70.3333,65.32,39,3,2.55,clear sky
68,Kapaa,US,22.0752,-159.319,85.98,77,20,18.41,few clouds
69,Mahebourg,MU,-20.4081,57.7,70.09,60,40,20.71,scattered clouds
70,Koygorodok,RU,60.445,50.9968,55.06,97,96,6.85,overcast clouds
71,The Valley,AI,18.217,-63.0578,82.26,78,0,19.86,clear sky
72,Nuevitas,CU,21.5453,-77.2644,80.46,81,2,12.17,clear sky
73,Slave Lake,CA,55.2834,-114.769,60.78,72,100,18.41,overcast clouds
74,Rikitea,PF,-23.1203,-134.9692,74.17,77,3,8.08,clear sky
75,Khatanga,RU,71.9667,102.5,48.36,50,100,19.33,overcast clouds
76,Talnakh,RU,69.4865,88.3972,56.21,46,100,3.22,overcast clouds
77,Chiajna,RO,44.46,25.9733,69.75,60,0,4.61,clear sky
78,Huilong,CN,31.8111,121.655,83.66,82,100,6.42,overcast clouds
79,Qaanaaq,GL,77.484,-69.3632,40.93,75,95,2.04,overcast clouds
80,Coban,GT,15.4833,-90.3667,61.45,99,100,0.89,overcast clouds
81,Pryazha,RU,61.6926,33.6216,58.24,78,100,9.26,overcast clouds
82,Witu,KE,-2.3889,40.4382,73.56,80,26,11.34,light rain
83,Poronaysk,RU,49.2167,143.1167,58.48,92,100,6.02,overcast clouds
84,Raymondville,US,26.4815,-97.7831,88.09,61,4,17.9,clear sky
85,Fortuna,US,40.5982,-124.1573,61.86,74,32,6.26,scattered clouds
86,Barrow,US,71.2906,-156.7887,38.37,83,100,17.38,overcast clouds
87,Nizwa,OM,22.9333,57.5333,82.9,75,54,3.0,broken clouds
88,Quelimane,MZ,-17.8786,36.8883,66.15,94,20,2.3,fog
89,Tiksi,RU,71.6872,128.8694,34.92,96,100,14.43,overcast clouds
90,Touros,BR,-5.1989,-35.4608,72.91,87,2,13.47,clear sky
91,College,US,64.8569,-147.8028,55.35,88,100,5.75,light rain
92,Hithadhoo,MV,-0.6,73.0833,81.77,72,99,6.89,moderate rain
93,Lusaka,ZM,-15.4067,28.2871,60.85,63,96,10.89,overcast clouds
94,Chuy,UY,-33.6971,-53.4616,44.89,89,0,5.66,clear sky
95,Sioux Lookout,CA,50.1001,-91.917,66.04,95,96,10.02,moderate rain
96,Praia,CV,14.9215,-23.5087,77.0,90,89,6.76,overcast clouds
97,Castro,BR,-24.7911,-50.0119,58.14,94,0,3.44,clear sky
98,Namibe,AO,-15.1961,12.1522,61.74,86,0,7.09,clear sky
99,Flinders,AU,-34.5833,150.8552,56.17,89,77,8.01,broken clouds
100,Karratha,AU,-20.7377,116.8463,75.2,30,0,14.99,clear sky
101,Georgetown,MY,5.4112,100.3354,87.73,82,20,5.75,few clouds
102,Kahului,US,20.8947,-156.47,84.22,54,40,26.46,scattered clouds
103,Urumqi,CN,43.801,87.6005,71.22,32,94,14.65,overcast clouds
104,Thompson,CA,55.7435,-97.8558,78.28,37,93,5.01,overcast clouds
105,Geraldton,AU,-28.7667,114.6,66.11,52,89,16.91,light rain
106,San Carlos De Bariloche,AR,-41.1456,-71.3082,42.55,87,100,28.77,overcast clouds
107,Isangel,VU,-19.55,169.2667,84.31,70,40,6.91,scattered clouds
108,Mackay,AU,-21.15,149.2,72.68,78,100,13.85,overcast clouds
109,Ayan,RU,56.45,138.1667,56.5,99,100,11.14,light rain
110,Siyabuswa,ZA,-25.1132,29.0445,56.53,62,48,1.57,scattered clouds
111,Port Elizabeth,ZA,-33.918,25.5701,53.31,99,100,11.01,overcast clouds
112,Kota Kinabalu,MY,5.9749,116.0724,87.78,70,20,4.61,few clouds
113,Mar Del Plata,AR,-38.0023,-57.5575,46.87,70,88,18.99,overcast clouds
114,Nago,JP,26.5881,127.9761,87.46,75,54,12.12,broken clouds
115,Pochutla,MX,15.7432,-96.4661,77.23,90,37,2.8,scattered clouds
116,Paramonga,PE,-10.6667,-77.8333,61.92,85,65,8.97,broken clouds
117,Kalakamati,BW,-20.5929,27.3121,50.67,91,5,7.18,clear sky
118,Solnechnyy,RU,50.7214,136.6319,57.58,95,100,4.0,overcast clouds
119,Skjervoy,NO,70.0311,20.9714,44.6,86,47,4.88,scattered clouds
120,Nikolskoye,RU,59.7035,30.7861,57.09,94,55,8.55,broken clouds
121,Adrar,MR,20.5022,-10.0711,92.59,8,5,9.33,clear sky
122,Santa Cruz,BO,-17.8,-63.1667,67.6,74,61,4.05,broken clouds
123,Kulhudhuffushi,MV,6.6221,73.07,79.81,82,100,18.05,overcast clouds
124,Manosque,FR,43.8288,5.7869,71.49,61,0,3.94,clear sky
125,Gaziantep,TR,37.0594,37.3825,75.56,52,0,0.0,clear sky
126,Waipawa,NZ,-41.4122,175.5153,51.28,94,97,2.39,moderate rain
127,Mayo,US,38.8876,-76.5119,82.35,84,0,1.01,clear sky
128,Codrington,AU,-38.2667,141.9667,51.03,56,0,3.02,clear sky
129,Howard Springs,AU,-12.497,131.047,84.97,57,6,3.53,clear sky
130,Sinnamary,GF,5.3833,-52.95,77.43,84,84,9.84,broken clouds
131,Cayenne,GF,4.9333,-52.3333,76.84,87,100,10.13,overcast clouds
132,Te Anau,NZ,-45.4167,167.7167,41.02,97,100,2.46,overcast clouds
133,Batemans Bay,AU,-35.7167,150.1833,53.1,60,100,5.91,overcast clouds
134,Tilichiki,RU,60.4667,166.1,57.61,80,100,6.89,overcast clouds
135,Gazanjyk,TM,39.2446,55.5154,88.29,17,0,6.89,clear sky
136,Saskylakh,RU,71.9167,114.0833,44.17,61,100,15.39,overcast clouds
137,Nanortalik,GL,60.1432,-45.2371,46.85,95,99,9.73,overcast clouds
138,Lompoc,US,34.6391,-120.4579,84.34,80,0,12.66,clear sky
139,Atar,MR,20.5169,-13.0499,86.72,40,0,9.95,clear sky
140,Naze,JP,28.3667,129.4833,83.19,81,100,15.41,overcast clouds
141,Tuatapere,NZ,-46.1333,167.6833,44.55,80,92,3.15,overcast clouds
142,Chadiza,ZM,-14.0678,32.4392,54.84,78,4,3.67,clear sky
143,Aklavik,CA,68.2191,-135.0107,68.58,49,100,9.28,overcast clouds
144,Beloha,MG,-25.1667,45.05,61.09,69,0,8.63,clear sky
145,Beringovskiy,RU,63.05,179.3167,54.27,67,64,25.03,broken clouds
146,Dingle,PH,10.9995,122.6711,85.19,74,14,3.71,few clouds
147,Margate,GB,51.3813,1.3862,68.7,78,89,5.01,light rain
148,Winnemucca,US,40.973,-117.7357,91.45,21,0,9.22,clear sky
149,Bambous Virieux,MU,-20.3428,57.7575,70.05,60,40,20.71,light rain
150,Mount Gambier,AU,-37.8333,140.7667,51.37,53,0,2.37,clear sky
151,Eureka,US,40.8021,-124.1637,62.13,81,33,5.01,scattered clouds
152,Iqaluit,CA,63.7506,-68.5145,38.12,94,100,4.72,light rain
153,Sawtell,AU,-30.3833,153.1,59.02,82,75,8.05,broken clouds
154,Cacu,BR,-18.5567,-51.1308,69.21,40,15,3.71,few clouds
155,Hambantota,LK,6.1241,81.1185,80.01,81,98,12.86,overcast clouds
156,Coahuayana,MX,18.7333,-103.6833,80.17,87,56,2.66,broken clouds
157,Airai,TL,-8.9266,125.4092,69.04,47,84,2.62,broken clouds
158,Saint-Pierre,RE,-21.3393,55.4781,71.29,58,0,9.22,clear sky
159,Gamba,GA,-2.65,10.0,70.56,94,100,3.89,overcast clouds
160,Antofagasta,CL,-23.65,-70.4,54.68,77,64,4.34,broken clouds
161,Panjab,AF,34.388,67.0233,57.9,30,0,5.23,clear sky
162,Oktyabrskoye,RU,43.0645,44.7417,62.35,93,100,6.71,light intensity drizzle
163,Leningradskiy,RU,69.3833,178.4167,34.65,96,100,22.1,light snow
164,Vao,NC,-22.6667,167.4833,74.07,89,99,14.18,light rain
165,Iralaya,HN,15.0,-83.2333,80.37,81,53,12.26,broken clouds
166,Amapa,BR,1.0,-52.0,72.46,95,100,1.48,overcast clouds
167,San Andres,CO,12.5847,-81.7006,82.42,83,20,12.66,few clouds
168,Saint Anthony,US,45.0205,-93.218,80.92,43,0,18.41,clear sky
169,Puerto Ayora,EC,-0.7393,-90.3518,67.55,98,55,5.01,broken clouds
170,Gazli,UZ,40.1333,63.45,87.53,23,0,18.88,clear sky
171,Palmeira,BR,-25.4294,-50.0064,57.09,98,10,4.88,clear sky
172,Pingliang,CN,35.5392,106.6861,71.6,57,0,4.12,clear sky
