City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Pangkalanbuun,ID,2022-07-18 04:07:38,-2.6833,111.6167,88.59,58,100,2.98
1,Tuktoyaktuk,CA,2022-07-18 04:02:11,69.4541,-133.0374,57.94,66,100,14.61
2,Luganville,VU,2022-07-18 04:07:39,-15.5333,167.1667,81.25,80,37,9.86
3,Punta Arenas,CL,2022-07-18 03:58:32,-53.15,-70.9167,33.91,80,75,29.93
4,Cherskiy,RU,2022-07-18 04:07:40,68.75,161.3,56.28,38,82,20.27
5,Port Alfred,ZA,2022-07-18 04:05:08,-33.5906,26.891,64.18,44,3,4.0
6,Saint-Philippe,RE,2022-07-18 04:02:06,-21.3585,55.7679,65.79,84,81,22.03
7,La Ronge,CA,2022-07-18 04:07:42,55.1001,-105.2842,63.09,60,68,0.29
8,Mehamn,NO,2022-07-18 04:07:42,71.0357,27.8492,51.75,100,75,5.75
9,Saquena,PE,2022-07-18 04:07:43,-4.6667,-73.5167,72.52,97,64,0.29
10,Nikolskoye,RU,2022-07-18 04:00:40,59.7035,30.7861,57.87,95,93,5.46
11,Half Moon Bay,US,2022-07-18 04:07:44,37.4636,-122.4286,72.54,83,0,14.97
12,Mwene-Ditu,CD,2022-07-18 04:07:45,-7.0,23.45,63.61,47,5,4.68
13,Ternate,ID,2022-07-18 04:07:45,0.8,127.4,79.23,84,100,3.02
14,Busselton,AU,2022-07-18 04:00:36,-33.65,115.3333,61.59,63,17,12.55
15,Waterfoot,GB,2022-07-18 04:07:47,53.6929,-2.2525,68.56,75,100,4.43
16,Albany,US,2022-07-18 04:00:43,42.6001,-73.9662,75.31,77,100,3.4
17,Hermanus,ZA,2022-07-18 04:02:00,-34.4187,19.2345,51.8,82,5,7.14
18,Itabira,BR,2022-07-18 04:07:48,-19.6192,-43.2269,55.69,91,26,1.43
19,Rikitea,PF,2022-07-18 04:00:36,-23.1203,-134.9692,74.07,78,98,13.82
20,Labuhan,ID,2022-07-18 04:07:49,-6.8844,112.2051,84.02,68,76,6.85
21,Saldanha,ZA,2022-07-18 04:07:50,-33.0117,17.9442,55.69,92,0,6.69
22,Dudinka,RU,2022-07-18 04:07:51,69.4058,86.1778,61.63,52,100,10.38
23,Yellowknife,CA,2022-07-18 04:03:44,62.456,-114.3525,60.46,66,99,7.4
24,Ushuaia,AR,2022-07-18 03:55:56,-54.8,-68.3,37.06,75,75,17.27
25,Nankana Sahib,PK,2022-07-18 04:07:52,31.4475,73.6972,93.04,47,32,3.87
26,Butaritari,KI,2022-07-18 04:07:53,3.0707,172.7902,82.44,73,11,14.2
27,Ribeira Grande,PT,2022-07-18 04:07:54,38.5167,-28.7,71.38,94,4,6.02
28,Ponta Do Sol,PT,2022-07-18 04:02:26,32.6667,-17.1,71.01,82,15,6.98
29,Port-Gentil,GA,2022-07-18 04:07:55,-0.7193,8.7815,73.98,77,40,7.31
30,Antofagasta,CL,2022-07-18 04:07:56,-23.65,-70.4,56.48,75,4,5.03
31,Bilibino,RU,2022-07-18 04:07:56,68.0546,166.4372,43.93,57,98,20.6
32,Caxito,AO,2022-07-18 04:07:57,-8.5785,13.6643,70.74,82,100,0.85
33,Xichang,CN,2022-07-18 04:07:58,27.8964,102.2634,80.06,74,100,2.28
34,Lebu,CL,2022-07-18 04:07:58,-37.6167,-73.65,45.75,73,98,6.76
35,Tiksi,RU,2022-07-18 04:00:55,71.6872,128.8694,41.9,64,100,7.29
36,Nanortalik,GL,2022-07-18 04:07:59,60.1432,-45.2371,41.61,93,39,8.41
37,Mataura,NZ,2022-07-18 03:59:09,-46.1927,168.8643,53.47,73,99,9.33
38,Namatanai,PG,2022-07-18 04:08:00,-3.6667,152.4333,84.34,70,55,10.65
39,Ustka,PL,2022-07-18 04:08:01,54.5805,16.8619,59.65,87,100,11.43
40,Wembley,AU,2022-07-18 04:08:02,-31.9333,115.8,65.19,83,40,12.66
41,Kaitangata,NZ,2022-07-18 04:03:32,-46.2817,169.8464,56.35,64,70,8.86
42,Sao Filipe,CV,2022-07-18 04:05:01,14.8961,-24.4956,73.33,82,64,12.93
43,Sembe,CG,2022-07-18 04:08:04,1.6481,14.5806,70.77,95,99,2.15
44,East London,ZA,2022-07-18 04:08:04,-33.0153,27.9116,68.11,33,0,7.23
45,Nueva Guinea,NI,2022-07-18 04:03:35,11.6876,-84.4562,72.73,98,85,6.38
46,Denpasar,ID,2022-07-18 04:07:28,-8.65,115.2167,82.06,78,40,12.66
47,Marsa Matruh,EG,2022-07-18 04:09:06,31.3525,27.2453,77.36,75,0,12.28
48,Codrington,AU,2022-07-18 04:00:34,-38.2667,141.9667,50.59,67,100,11.63
49,Hobart,AU,2022-07-18 03:58:09,-42.8794,147.3294,43.05,79,75,19.57
50,Russell,US,2022-07-18 04:02:14,32.3502,-85.1999,80.2,94,0,3.44
51,Souillac,MU,2022-07-18 04:09:08,-20.5167,57.5167,68.97,81,68,20.04
52,Santa Cruz,BO,2022-07-18 04:09:08,-17.8,-63.1667,56.66,88,75,2.3
53,Kapaa,US,2022-07-18 04:03:33,22.0752,-159.319,82.38,85,100,14.97
54,Bluff,NZ,2022-07-18 04:01:10,-46.6,168.3333,53.8,94,98,12.97
55,Geraldton,AU,2022-07-18 04:09:10,-28.7667,114.6,66.61,72,38,4.61
56,Jamestown,US,2022-07-18 04:00:29,42.097,-79.2353,67.01,87,100,12.66
57,Soyo,AO,2022-07-18 04:09:11,-6.1349,12.3689,69.94,89,67,4.36
58,Krasnoselkup,RU,2022-07-18 04:09:12,65.7,82.4667,65.35,52,79,14.41
59,Beloha,MG,2022-07-18 04:09:12,-25.1667,45.05,62.58,81,0,10.83
60,Kupang,ID,2022-07-18 04:09:13,-10.1667,123.5833,82.18,58,100,12.46
61,Vaini,TO,2022-07-18 04:00:39,-21.2,-175.2,75.56,80,77,22.24
62,Winnemucca,US,2022-07-18 04:09:14,40.973,-117.7357,89.65,19,100,12.66
63,Lazaro Cardenas,MX,2022-07-18 04:09:15,17.9583,-102.2,78.55,86,92,2.55
64,Puerto Ayora,EC,2022-07-18 04:02:23,-0.7393,-90.3518,68.56,92,69,5.01
65,Ngunguru,NZ,2022-07-18 04:09:16,-35.6167,174.5,58.5,72,100,13.91
66,Banes,CU,2022-07-18 04:09:17,20.9625,-75.7186,80.46,80,0,14.38
67,Markovo,RU,2022-07-18 04:09:17,57.3206,107.0881,74.37,48,36,3.91
68,Tasiilaq,GL,2022-07-18 04:00:36,65.6145,-37.6368,41.16,84,98,2.84
69,Cabedelo,BR,2022-07-18 04:09:18,-6.9811,-34.8339,70.47,77,12,12.66
70,Faanui,PF,2022-07-18 04:09:19,-16.4833,-151.75,76.82,72,81,16.42
71,Aklavik,CA,2022-07-18 04:03:46,68.2191,-135.0107,72.54,44,97,8.41
72,Manggar,ID,2022-07-18 04:07:21,-2.8833,108.2667,82.99,77,86,9.62
73,Rawson,AR,2022-07-18 04:09:20,-43.3002,-65.1023,45.07,56,31,27.02
74,Pokaran,IN,2022-07-18 04:09:21,26.9167,71.9167,86.29,69,99,3.62
75,Iqaluit,CA,2022-07-18 04:00:13,63.7506,-68.5145,38.7,93,98,8.19
76,Chokurdakh,RU,2022-07-18 03:59:58,70.6333,147.9167,59.72,35,59,15.48
77,Kashi,CN,2022-07-18 04:09:23,39.4547,75.9797,90.72,16,0,2.37
78,Tautira,PF,2022-07-18 04:09:23,-17.7333,-149.15,75.45,71,58,10.67
79,Valle Hermoso,MX,2022-07-18 04:09:24,25.6667,-97.8333,82.26,74,0,11.81
80,Atuona,PF,2022-07-18 03:59:05,-9.8,-139.0333,78.13,74,25,20.15
81,Port Hedland,AU,2022-07-18 04:09:25,-20.3167,118.5667,80.65,26,0,5.75
82,Kodiak,US,2022-07-18 04:00:49,57.79,-152.4072,56.55,75,95,9.24
83,Tazovskiy,RU,2022-07-18 04:09:26,67.4667,78.7,61.45,53,100,14.0
84,Lata,PT,2022-07-18 04:09:27,40.1629,-8.3327,64.08,94,47,2.37
85,Manado,ID,2022-07-18 04:09:27,1.487,124.8455,74.17,94,40,1.14
86,Abonnema,NG,2022-07-18 04:09:28,4.7084,6.7931,73.08,88,96,4.65
87,San Ramon,US,2022-07-18 04:05:31,37.7799,-121.978,73.02,71,0,9.22
88,Lerwick,GB,2022-07-18 04:09:29,60.1545,-1.1494,53.6,87,97,8.97
89,Boddam,GB,2022-07-18 04:09:30,57.4667,-1.7833,61.43,93,100,7.09
90,Argelia,CO,2022-07-18 04:09:30,2.2556,-77.2488,65.26,95,99,1.07
91,Nasice,HR,2022-07-18 04:09:31,45.4886,18.0878,57.74,77,16,0.78
92,Khatanga,RU,2022-07-18 04:02:21,71.9667,102.5,60.82,55,100,2.64
93,Mosetse,BW,2022-07-18 04:09:32,-20.75,26.65,50.11,85,0,10.98
94,Kiunga,PG,2022-07-18 04:09:33,-6.1219,141.2906,83.19,76,100,2.35
95,Belaya Gora,RU,2022-07-18 04:10:33,68.5333,146.4167,65.48,39,86,6.49
96,Sibolga,ID,2022-07-18 04:10:34,1.7427,98.7792,87.03,56,32,4.41
97,Brae,GB,2022-07-18 04:10:34,60.3964,-1.353,53.28,89,94,9.22
98,Suntar,RU,2022-07-18 04:10:35,62.1444,117.6319,70.56,52,84,3.85
99,Vila Franca Do Campo,PT,2022-07-18 04:10:36,37.7167,-25.4333,74.19,88,72,4.76
100,Saint-Pierre,RE,2022-07-18 04:00:07,-21.3393,55.4781,67.91,88,75,24.16
101,Carauari,BR,2022-07-18 04:10:37,-4.8828,-66.8958,73.44,94,61,2.37
102,Innisfail,AU,2022-07-18 04:10:38,-17.5333,146.0333,71.49,75,88,11.43
103,Ketchikan,US,2022-07-18 04:10:39,55.3422,-131.6461,54.07,94,100,11.5
104,Bredasdorp,ZA,2022-07-18 04:10:39,-34.5322,20.0403,50.92,88,3,4.09
105,Santa Rosa,PH,2022-07-18 04:10:40,14.3122,121.1114,86.11,76,90,1.79
106,Cidreira,BR,2022-07-18 04:10:41,-30.1811,-50.2056,49.53,80,0,4.36
107,Avarua,CK,2022-07-18 04:02:13,-21.2078,-159.775,73.45,78,20,8.05
108,Qaanaaq,GL,2022-07-18 04:05:06,77.484,-69.3632,41.4,69,51,1.39
109,Abu Samrah,SY,2022-07-18 04:10:43,35.3029,37.1841,75.79,54,0,7.43
110,Kerchevskiy,RU,2022-07-18 04:10:43,59.946,56.2884,71.24,51,28,1.52
111,Lavrentiya,RU,2022-07-18 04:10:44,65.5833,-171.0,38.44,69,99,25.79
112,Samarai,PG,2022-07-18 04:10:45,-10.6167,150.6667,81.88,75,44,8.41
113,The Valley,AI,2022-07-18 04:09:59,18.217,-63.0578,82.09,77,1,18.97
114,Kemijarvi,FI,2022-07-18 04:10:46,66.7131,27.4306,54.07,87,71,6.69
115,Sijunjung,ID,2022-07-18 04:10:46,-0.6876,100.9537,89.49,52,9,1.74
116,San Patricio,US,2022-07-18 04:10:47,28.017,-97.5169,85.84,75,19,12.55
117,Komsomolskiy,UZ,2022-07-18 04:10:47,40.4272,71.7189,92.12,24,0,2.3
118,Tevaitoa,PF,2022-07-18 04:10:48,-16.7833,-151.5,77.0,68,58,16.53
119,Clyde River,CA,2022-07-18 04:10:49,70.4692,-68.5914,37.22,80,1,5.1
120,Gao,ML,2022-07-18 04:10:49,16.6362,1.637,82.69,52,98,9.4
121,Sola,VU,2022-07-18 04:02:01,-13.8833,167.55,80.2,80,29,19.51
122,Hilo,US,2022-07-18 04:00:58,19.7297,-155.09,86.29,91,100,10.36
123,Ust-Omchug,RU,2022-07-18 04:10:51,61.15,149.6333,73.24,64,84,2.84
124,Biloela,AU,2022-07-18 04:10:52,-24.4167,150.5,72.52,37,0,2.98
125,Alyangula,AU,2022-07-18 04:10:52,-13.8483,136.4192,78.12,62,77,7.94
126,Komarno,SK,2022-07-18 04:10:53,47.7636,18.1226,57.06,53,26,2.44
127,Katsuura,JP,2022-07-18 04:10:54,35.1333,140.3,81.54,77,100,14.07
128,Torbay,CA,2022-07-18 04:10:54,47.6666,-52.7314,63.39,74,100,10.0
129,Norman Wells,CA,2022-07-18 04:02:19,65.282,-126.8329,67.93,61,93,5.03
130,Chuy,UY,2022-07-18 04:10:55,-33.6971,-53.4616,41.63,87,54,6.89
131,Cape Town,ZA,2022-07-18 04:06:04,-33.9258,18.4232,58.12,90,12,3.0
132,Baykit,RU,2022-07-18 04:10:57,61.67,96.37,70.48,47,20,9.71
133,Pevek,RU,2022-07-18 04:10:57,69.7008,170.3133,32.18,89,99,19.93
134,Arraial Do Cabo,BR,2022-07-18 04:02:09,-22.9661,-42.0278,70.45,92,23,7.09
135,Zorritos,PE,2022-07-18 04:10:58,-3.6805,-80.6782,68.76,78,66,3.42
136,New Norfolk,AU,2022-07-18 04:02:08,-42.7826,147.0587,42.71,77,85,6.04
137,Marawi,PH,2022-07-18 04:11:00,7.9986,124.2928,74.55,90,100,2.28
138,Port Elizabeth,ZA,2022-07-18 04:11:00,-33.918,25.5701,61.09,95,0,1.14
139,Vestmannaeyjar,IS,2022-07-18 04:11:01,63.4427,-20.2734,48.51,91,53,4.61
140,Makakilo City,US,2022-07-18 04:12:02,21.3469,-158.0858,82.72,62,40,18.41
141,Nikitinskiy,RU,2022-07-18 04:12:02,54.5845,86.0115,63.99,57,39,10.18
142,Sioux Lookout,CA,2022-07-18 04:12:03,50.1001,-91.917,75.27,60,75,29.93
143,Pavlovskaya Sloboda,RU,2022-07-18 04:08:14,55.8156,37.0828,59.52,95,100,5.46
144,Chiredzi,ZW,2022-07-18 04:12:04,-21.05,31.6667,56.5,87,66,3.53
145,Acapulco,MX,2022-07-18 04:02:10,16.8634,-99.8901,80.24,79,100,1.54
146,Waipawa,NZ,2022-07-18 04:12:05,-41.4122,175.5153,51.8,74,79,17.85
147,Sakakah,SA,2022-07-18 04:12:06,29.9697,40.2064,88.79,16,1,2.3
148,Whitehorse,CA,2022-07-18 04:12:05,60.7161,-135.0538,52.88,73,92,11.43
149,Provideniya,RU,2022-07-18 04:12:07,64.3833,-173.3,41.36,70,40,22.37
150,Saskylakh,RU,2022-07-18 04:12:08,71.9167,114.0833,55.33,38,100,11.21
151,Carnarvon,AU,2022-07-18 04:03:43,-24.8667,113.6333,70.27,57,32,12.77
152,Maiduguri,NG,2022-07-18 04:12:10,11.8464,13.1603,72.25,89,93,5.37
153,Humaita,BR,2022-07-18 04:12:11,-7.5061,-63.0208,80.91,62,83,1.34
154,Maragogi,BR,2022-07-18 04:12:01,-9.0122,-35.2225,73.54,81,6,7.54
155,Vila Velha,BR,2022-07-18 04:09:35,-20.3297,-40.2925,69.75,90,0,2.3
156,Victoria,HK,2022-07-18 04:09:05,22.2855,114.1577,93.25,88,100,4.0
157,Udalguri,IN,2022-07-18 04:12:12,26.7667,92.1333,88.95,66,81,14.63
158,Alofi,NU,2022-07-18 04:12:13,-19.0595,-169.9187,77.07,75,20,24.36
159,Bengkulu,ID,2022-07-18 04:12:14,-3.8004,102.2655,84.76,63,45,3.83
160,Vao,NC,2022-07-18 04:12:14,-22.6667,167.4833,72.45,80,61,16.08
161,Coquimbo,CL,2022-07-18 04:12:15,-29.9533,-71.3436,49.73,81,0,4.61
162,Ilulissat,GL,2022-07-18 04:12:16,69.2167,-51.1,44.62,65,44,3.44
163,Tias,ES,2022-07-18 04:11:31,28.9611,-13.645,69.48,78,40,12.66
164,Borogontsy,RU,2022-07-18 04:12:17,62.6683,131.1683,89.64,36,15,6.69
165,Hauterive,FR,2022-07-18 04:12:17,46.0901,3.4459,59.76,57,14,2.46
166,Port Hardy,CA,2022-07-18 04:12:19,50.6996,-127.4199,55.96,85,66,11.68
167,Caravelas,BR,2022-07-18 04:12:20,-17.7125,-39.2481,69.93,90,4,4.34
168,Bilma,NE,2022-07-18 04:12:21,18.6853,12.9164,84.6,50,33,9.66
169,Chebenki,RU,2022-07-18 04:12:21,51.9337,55.7077,77.79,66,3,4.36
170,Portland,US,2022-07-18 04:07:51,45.5234,-122.6762,68.41,59,20,14.97
171,Rudnogorsk,RU,2022-07-18 04:12:22,57.2639,103.7519,71.44,47,90,6.62
172,Turukhansk,RU,2022-07-18 04:12:23,65.8167,87.9833,67.46,45,74,7.29
173,Gorontalo,ID,2022-07-18 04:12:24,0.5412,123.0595,73.74,98,100,2.04
174,Vieste,IT,2022-07-18 04:12:24,41.8825,16.175,77.72,68,3,12.01
175,Vostok,RU,2022-07-18 04:12:25,46.4856,135.8833,63.41,88,100,2.62
176,Lompoc,US,2022-07-18 04:12:26,34.6391,-120.4579,73.78,90,0,3.44
177,Sisimiut,GL,2022-07-18 04:12:26,66.9395,-53.6735,45.09,78,100,2.04
178,Castro,BR,2022-07-18 04:12:27,-24.7911,-50.0119,59.9,96,100,7.09
179,Penzance,GB,2022-07-18 04:12:28,50.1186,-5.5371,65.08,76,73,14.09
180,Bradley,US,2022-07-18 04:12:28,35.1501,-84.8666,80.31,75,20,5.75
181,Macerata,IT,2022-07-18 04:12:29,43.2,13.1667,65.95,68,0,1.88
182,Modasa,IN,2022-07-18 04:09:10,23.4667,73.3,80.92,82,100,11.36
183,Scottsbluff,US,2022-07-18 04:12:30,41.8666,-103.6672,84.78,45,0,9.22
184,Ugleuralskiy,RU,2022-07-18 04:12:31,58.9534,57.5846,69.26,59,46,3.06
185,Bethel,US,2022-07-18 04:13:32,41.3712,-73.414,74.35,89,0,0.0
186,Manavalakurichi,IN,2022-07-18 04:13:32,8.1333,77.3,81.77,71,100,18.41
187,Marzuq,YE,2022-07-18 04:13:33,14.4,46.4667,82.36,28,68,3.94
188,Isangel,VU,2022-07-18 04:13:34,-19.55,169.2667,77.49,83,22,14.97
189,Miguel Auza,MX,2022-07-18 04:13:34,24.2933,-103.4503,70.93,28,1,5.59
190,Longyearbyen,SJ,2022-07-18 04:13:35,78.2186,15.6401,57.04,67,20,27.63
191,Georgetown,MY,2022-07-18 04:09:59,5.4112,100.3354,89.53,74,20,2.3
192,Nouadhibou,MR,2022-07-18 04:13:36,20.931,-17.0347,69.94,80,94,23.33
193,Alepe,CI,2022-07-18 04:13:37,5.5004,-3.6631,76.87,88,95,4.14
194,San Carlos De Bariloche,AR,2022-07-18 04:08:55,-41.1456,-71.3082,23.58,90,35,7.27
195,La Sarre,CA,2022-07-18 04:11:38,48.8002,-79.1996,63.52,70,35,6.42
196,Fortuna,US,2022-07-18 04:08:44,40.5982,-124.1573,58.66,81,2,4.34
197,Auki,SB,2022-07-18 04:13:39,-8.7676,160.7034,86.22,58,19,4.85
198,Axim,GH,2022-07-18 04:13:40,4.8699,-2.2405,74.68,80,75,8.72
199,Hambantota,LK,2022-07-18 04:13:40,6.1241,81.1185,86.43,63,62,16.93
200,Luena,AO,2022-07-18 04:13:41,-11.7833,19.9167,47.23,56,19,6.17
201,Zhezkazgan,KZ,2022-07-18 04:13:42,47.8043,67.7144,80.58,41,20,6.71
202,Fairbanks,US,2022-07-18 04:09:34,64.8378,-147.7164,64.4,66,100,6.91
203,Korla,CN,2022-07-18 04:13:44,41.7597,86.1469,87.62,18,0,10.27
204,Najran,SA,2022-07-18 04:13:45,17.4924,44.1277,82.85,24,30,6.98
205,Airai,TL,2022-07-18 04:13:45,-8.9266,125.4092,70.11,49,12,3.85
206,Aquiraz,BR,2022-07-18 04:13:46,-3.9014,-38.3911,79.18,86,6,14.03
207,Sinnai,IT,2022-07-18 04:13:47,39.3042,9.2036,75.47,76,0,4.61
208,Mar Del Plata,AR,2022-07-18 04:13:47,-38.0023,-57.5575,51.1,63,0,17.27
209,Funadhoo,MV,2022-07-18 04:13:48,6.15,73.2667,82.09,75,100,13.8
210,Yar-Sale,RU,2022-07-18 04:13:48,66.8333,70.8333,67.75,47,96,9.37
211,Paragominas,BR,2022-07-18 04:13:49,-2.9667,-47.4833,70.39,84,22,3.04
212,Saint George,US,2022-07-18 04:13:50,37.1041,-113.5841,97.39,17,0,16.11
213,Avera,US,2022-07-18 04:13:51,33.194,-82.5271,78.85,89,4,5.61
214,Bail Hongal,IN,2022-07-18 04:13:51,15.8167,74.8667,74.44,85,100,13.33
215,Helena,US,2022-07-18 04:10:07,46.5927,-112.0361,76.19,55,0,5.75
216,Cayenne,GF,2022-07-18 04:11:46,4.9333,-52.3333,81.09,1,0,0.0
217,Kahului,US,2022-07-18 04:12:12,20.8947,-156.47,82.42,66,0,21.85
218,Taoudenni,ML,2022-07-18 04:13:53,22.6783,-3.9836,93.72,8,48,6.33
219,Bandarbeyla,SO,2022-07-18 04:13:54,9.4942,50.8122,80.2,57,99,30.15
220,Yasnyy,RU,2022-07-18 04:13:55,51.0333,59.8742,76.55,51,65,3.49
221,Santarem,BR,2022-07-18 04:13:49,-2.4431,-54.7083,80.73,94,0,5.75
222,Kodinsk,RU,2022-07-18 04:13:56,58.6881,99.1844,68.07,53,100,8.28
223,Gasa,PS,2022-07-18 04:13:57,31.5,34.4667,71.89,81,0,1.79
224,Laguna,US,2022-07-18 04:13:57,38.421,-121.4238,88.68,30,0,8.05
225,Cahors,FR,2022-07-18 04:13:58,44.4167,1.3333,68.63,48,0,6.89
226,Sao Joao Da Barra,BR,2022-07-18 04:13:59,-21.6403,-41.0511,70.23,88,59,12.46
227,Tigil,RU,2022-07-18 04:13:59,57.8,158.6667,67.75,64,78,17.4
228,Olafsvik,IS,2022-07-18 04:14:00,64.8945,-23.7142,50.18,84,95,7.52
229,Pachino,IT,2022-07-18 04:09:12,36.7186,15.0907,78.8,58,0,5.57
230,Manzanillo,CU,2022-07-18 04:14:01,20.3433,-77.1167,77.09,87,9,3.8
231,Mount Isa,AU,2022-07-18 04:14:02,-20.7333,139.5,76.77,29,0,8.05
232,Esperance,AU,2022-07-18 04:15:02,-33.8667,121.9,53.44,88,100,15.28
233,Ormara,PK,2022-07-18 04:15:03,25.2088,64.6357,84.22,86,99,20.09
234,Ahipara,NZ,2022-07-18 04:15:04,-35.1667,173.1667,57.36,79,100,9.8
235,Kruisfontein,ZA,2022-07-18 04:15:05,-34.0033,24.7314,54.57,73,1,1.41
236,Port Blair,IN,2022-07-18 04:15:06,11.6667,92.75,84.4,75,98,11.25
237,Ulaangom,MN,2022-07-18 04:15:06,49.9811,92.0667,77.88,34,93,9.64
238,Hofn,IS,2022-07-18 04:15:07,64.2539,-15.2082,51.6,81,100,5.64
239,Honiara,SB,2022-07-18 04:10:31,-9.4333,159.95,87.84,57,22,8.12
240,Barrow,US,2022-07-18 04:15:10,71.2906,-156.7887,41.02,81,20,19.57
241,Pisco,PE,2022-07-18 04:15:10,-13.7,-76.2167,58.01,88,27,4.61
242,Celestun,MX,2022-07-18 04:15:11,20.8667,-90.4,80.64,79,11,14.12
243,Road Town,VG,2022-07-18 04:12:11,18.4167,-64.6167,80.69,78,1,19.51
244,Puerto Narino,CO,2022-07-18 04:15:12,-3.7703,-70.3831,73.83,95,89,1.9
245,Loandjili,CG,2022-07-18 04:15:13,-4.7561,11.8578,68.92,94,18,4.09
246,Hoi An,VN,2022-07-18 04:12:19,15.8794,108.335,96.76,56,91,1.63
247,Thompson,CA,2022-07-18 04:15:14,55.7435,-97.8558,66.36,77,75,0.0
248,Moerai,PF,2022-07-18 04:15:15,-22.4333,-151.3333,72.45,68,76,17.58
249,Conde,BR,2022-07-18 04:12:09,-7.2597,-34.9075,69.26,100,20,5.75
250,Nueva Loja,EC,2022-07-18 04:15:16,0.0847,-76.8828,69.84,99,100,1.79
251,Wittenberge,DE,2022-07-18 04:15:17,53.0,11.75,57.0,83,89,2.51
252,Ola,RU,2022-07-18 04:15:17,59.5833,151.2833,77.14,84,79,6.44
253,Puerto Lleras,CO,2022-07-18 04:15:18,3.0223,-73.4044,69.64,99,100,1.88
254,Massaguet,TD,2022-07-18 04:15:18,12.4755,15.4365,75.04,81,100,6.4
255,Kalmunai,LK,2022-07-18 04:15:19,7.4167,81.8167,87.22,61,56,4.38
256,Hualmay,PE,2022-07-18 04:15:20,-11.0964,-77.6139,61.59,84,52,8.9
257,Dingle,PH,2022-07-18 04:15:21,10.9995,122.6711,78.15,91,100,7.29
258,Dhidhdhoo,MV,2022-07-18 04:15:21,6.8833,73.1,81.52,78,100,13.82
259,Nemuro,JP,2022-07-18 04:15:22,43.3236,145.575,64.94,93,97,10.69
260,Luderitz,NA,2022-07-18 04:15:23,-26.6481,15.1594,61.03,54,1,7.38
261,Nanakuli,US,2022-07-18 04:15:24,21.3906,-158.1547,84.15,59,40,11.5
